redshift impact(kpc) logMstar SF1/NSF-1 R200(kpc) logN det0/UL1/LL-1
0.3287 219  9.9 1 132 13.62 1
0.3439 165 10.5 -1  187 14.4  0 
0.4315  60 10.8 -1  305 13.96  0
0.5023 312 11.2 -1  515 14.2  0 
0.1638  19 10.7 -1  231 13.61 1
0.0077 138  9.9 1 146 14.02 1
0.0511 137 10.3 1 172 14.26  0
0.1236  92 10.0 1 144 14.48  0
0.2737 154 10.4 -1  171 14.45 0 
0.0059  81  7.9 -1   67 13.05 1
0.1938 322 10.2 1 156 13.58 1
0.3185  32 10.1 1 145 14.71  0
0.3248 236  9.6 1 119 13.58 1
0.2221 132 10.4 1 183 14.41 0 
0.2053  20  9.6 1 123 14.82 0 
0.2178  93  9.6 1 121 14.7  0 
0.458  273  9.4 1 106 13.54 1
0.1925 112  9.4 1 116 14.32 0 
0.3896 102 10.8 1 292 13.33 1
0.0425 227 10.8 -1  292 14.43 0 
0.0944 353 11.0 -1  375 13.85 0
0.0022 114  8.5 1  85 13.61 0 
0.2142  37 10.4 1 183 14.51 0 
0.1924  87 10.0 1 146 14.43 0 
0.1586 174 11.1 -1  424 13.41 1
0.161  299 10.3 -1  173 13.89 0 
0.1782 248  8.9 1  95 13.64 1
0.2013  32 10.3 -1  167 13.19 1
0.227   35 10.5 1 184 14.6  0 
0.1387 116 10.1 -1  154 14.14 0 
0.3296 126 11.1 -1  456 13.46 1
0.4004  47 11.0 -1  418 14.0  0 
0.1792  88 10.3 1 165 14.44  0
0.2888  54  9.5 1 116 14.6  0 
0.3154 341  8.9 1  93 13.68 1
0.3257 141  9.6 1 118 13.69 1
0.3379 188  8.6 1  85 13.74 1
0.3995 364  9.0 1  96 13.59 1
0.4275  77  9.5 1 110 14.3  0 
0.4543 127  9.5 1 112 13.69 1
0.5799 166 10.0 1 127 13.86 1
0.1161 173  9.0 1 100 13.53 1
0.1384 208 10.4 1 184 13.81 0 
0.1839  63  8.8 1  93 14.15 0 
0.2515  75  8.8 1  90 14.42 0 
0.2715 256  8.6 1  85 13.24 1
0.2996 182 10.7 -1  254 13.12 1
0.3216 127  9.6 1 117 13.86 0 
0.3923 287 10.2 1 145 12.93 1
0.2024  39 10.6 1 217 14.77 0 
0.2623  83  9.9 1 136 14.58 0 
0.1413 352  8.2 1  74 14.02 1
0.1436  29  9.3 1 110 14.53 0 
0.2344 294  8.6 1  84 14.0  1
0.246  143  9.6 1 121 14.37 0 
0.3069 134  9.1 1 102 13.89 1
0.3449  69  8.6 1  85 13.96 1
0.3564  95  9.4 1 111 14.29 0 
0.3688 291  9.3 1 104 13.82 1
0.3746  62  8.8 1  89 14.05 0 
0.4516 334  9.3 1 105 13.87 1
0.5668 383  9.6 1 113 14.0  1
0.5703 201 10.5 1 165 14.66 0 
0.2176 113 10.2 1 158 14.36 0
0.1202  11 10.3 1 174 13.54 1
0.1319 383  8.6 1  87 13.42 1
0.1391  84  8.3 1  78 13.62 0 
0.1981 222  8.4 1  81 13.28 1
0.2217 224  9.9 1 139 13.23 1
0.2402 169  8.7 1  90 13.2  1
0.2708 323  8.9 1  96 13.31 1
0.3059 258  8.5 1  83 13.22 1
0.3286  75 10.5 1 179 13.24 1
0.385  365  8.8 1  89 13.14 1
0.0949  79  8.5 1  84 13.36 1
0.151  199  9.6 1 122 13.66 1
0.1586 367  7.8 1  65 13.61 1
0.1639 359  9.2 1 106 13.61 1
0.1705 198  8.6 1  85 13.77 1
0.181  221  8.4 1  80 13.78 1
0.1918 326 10.9 -1  331 13.62 1
0.2171  99 10.8 1 291 14.44 0 
0.3594 350  9.2 1 101 13.63 1
0.3682 286  9.2 1 104 13.6  1
0.3931 339  8.8 1  89 13.57 1
0.4736 156 11.0 -1  415 13.69 0 
0.3125 102 11.0 -1  410 13.81 1
0.3218 150 10.3 1 159 13.6  1
0.1234 155  8.0 1  69 13.35 1
0.1572 229  8.6 1  86 13.79 1
0.1893  34 10.0 1 144 14.63  0
0.2349 128  8.8 1  91 13.78 1
0.3643 136  9.8 1 128 14.06 0 
0.4632 339 10.9 1 315 13.7  1
0.1851 166 10.8 -1  302 14.49  0
0.128  225 10.5 -1  199 12.91 1
0.1215 157 10.0 1 150 13.68  0
0.0776 309  9.9 1 144 13.27 1
0.1326 228 10.9 -1  320 14.19  0
0.1764 354 10.8 1 274 14.11  0
0.1768 116 10.5 1 196 14.26 1
